dstocks,tablename
HERRNWATLC,HERRNWATLC
HERRPRD,HERRPRD
HERRPWS,HERRPWS
HERRQCI,HERRQCI
HERRRIGA,ICES-HERRING-[GRiga]-1977-2013
HERRSIRS,ICES-HERRING-[7a-southof52.30+7ghjk]-1958-2013
HERRSITKA,HERRSITKA
HERRSOG,HERRSOG
HERRVIa,ICES-HERRING-[6aNorth]-1957-2013
HERRWCVANI,HERRWCVANI
HMACKIIa-IVa-Vb-VIa-VII-VIII,ICES-H.MACKEREL-[2a+4a+5b+6a+7a-c+7e-k+8a-e]-1982-2013
HMACKIXa,ICES-H.MACKEREL-[9a]-1992-2013
HOKIENZ,HOKIENZ
HOKIWNZ,HOKIWNZ
JANCHOPJPN,JANCHOPJPN
JANCHOSETO,JANCHOSETO
JANCHOTSST,JANCHOTSST
JMACKPJPN,JMACKPJPN
JMACKTSST,JMACKTSST
KELPGREENLINGORECOAST,KELPGREENLINGORECOAST
KMACKGM,KMACKGM
KMACKSATLC,KMACKSATLC
LINGCODNPCOAST,LINGCODNPCOAST
LINGCODSPCOAST,LINGCODSPCOAST
LNOSESKAPCOAST,LNOSESKAPCOAST
LOBSTERGB,LOBSTERGB
LOBSTERGOM,LOBSTERGOM
LOBSTERSNE,LOBSTERSNE
LSTHORNHPCOAST,LSTHORNHPCOAST
MACKNEICES,MACKNEICES
MEG8c9a,ICES-MEGRIM-[8c9a(whif)]-1986-2013
MEGSPPIVa-VIa,ICES-MEGRIM-[4a+6a]-1985-2012
MENATGM,MENATGM
MORWONGESE,MORWONGSE
MORWONGWSE,MORWONGSE
MUTSNAPSATLCGM,MUTSNAPSATLCGM
NEPHFU11,ICES-Nep-[FU11]-1999-2013
NEPHFU12,ICES-Nep-[FU12]-1999-2013
NEPHFU13,ICES-Nep-[FU13Cl]-1999-2013 / ICES-Nep-[FU13Ju]-1999-2013
NEPHFU14,ICES-Nep-[FU14]-2003-2013
NEPHFU15,ICES-Nep-[FU15]-1965-2013
NEPHFU16,ICES-Nep-[FU16]-1965-2013
NEPHFU17,ICES-Nep-[FU17]-2001-2013
NEPHFU19,ICES-Nep-[FU19]-1989-2013
NEPHFU22,ICES-Nep-[FU22]-1999-2013
NEPHFU6,ICES-Nep-[FU6]-1981-2013
NEPHFU7,ICES-Nep-[FU7]-1981-2012
NEPHFU8,ICES-Nep-[FU8]-1981-2012
NEPHFU9,ICES-Nep-[FU9]-1981-2012
NPOUTIIIa-IV,ICES-NPOUT-[4+3a]-1983-2013
NROCKBSAI,NROCKBSAI
NROCKGA,NROCKGA
NRSOLEEBSAI,NRSOLEEBSAI
NZLINGESE,NZLINGESE
NZLINGLIN3-4,NZLINGLIN3-4
NZLINGLIN5-6,NZLINGLIN5-6
NZLINGLIN6b,NZLINGLIN6b
NZLINGLIN72,NZLINGLIN72
NZLINGLIN7WC,NZLINGLIN7WC
NZLINGWSE,NZLINGWSE
NZSNAPNZ8,NZSNAPNZ8
OFLOUNECS,OFLOUNECS
OFLOUNNSJ,OFLOUNNSJ
OFLOUNSETO,OFLOUNSETO
OPOUTNWATLC,OPOUTNWATLC
OROUGHYCASCADE,OROUGHYCASCADE
OROUGHYESCR,OROUGHYCR
OROUGHYNWCR,OROUGHYCR
OROUGHYNZMEC,OROUGHYNZMEC
OROUGHYSE,OROUGHYSE
PACBTUNA,PACBTUNA
PANCHPERUNC,PANCHPERUNC
PANDALI-II,ICES-Pand-[1+2]-1970-2012
PANDALIIIaW-IVaE,"ICES-Pand-[IIIaW,IVaE]-1970-2013"
PATGRENADIERCH,PATGRENADIERCH
PATGRENADIERSARG,PATGRENADIERSARG
PAUANPAU5A,PAUANPAU5A
PAUAPAU5B,PAUAPAU5B
PAUAPAU5D,PAUAPAU5D
PAUAPAU7,PAUAPAU7
PAUASPAU5A,PAUASPAU5A
PCODAI,PCODBSAI
PCODBS,PCODBSAI
PCODGA,PCODGA
PERCHEBSAI,PERCHEBSAI
PHAKEPCOAST,PHAKEPCOAST
PHALNPAC,PHALNPAC
PILCHPJPN,PILCHPJPN
PILCHTSST,PILCHTSST
PINKSHRIMPGM,PINKSHRIMPGM
PLAIC2123,ICES-PLAICE-[SD21-23]-1970-2012
PLAIC7d,ICES-PLAICE-[7d]-1976-2012
PLAICECHW,ICES-PLAICE-[7e]-1980-2013
PLAICNS,ICES-PLAICE-[NSea]-1957-2013
POLL4VWX,POLL4X5YZ / POLL5YZ
POLL5YZ,POLL4X5YZ / POLL5YZ
POLLFAPL,ICES-SAITHE-[5b(Faroe)]-1961-2013 / POLLFAPL
POLLIEG,ICES-SAITHE-[5a(Iceland)]-1980-2013
POLLNEAR,POLLNEAR
POLLNS-VI-IIIa,ICES-SAITHE-[4+3a+5]-1967-2013 / POLLNS-VI-IIIa
POPERCHGA,POPERCHGA
POPERCHPCOAST,POPERCHPCOAST
PSOLEPCOAST,PSOLEPCOAST
PTOOTHFISHMI,PTOOTHFISHMI
RBRMECS,RBRMECS
RBRMSETOE,RBRMSETOE
RBRMSETOW,RBRMSETOW
REDDEEPI-II,ICES-BeakRedfish-[1+2]-1992-2012
REDFISHSPP3M,REDFISHSPP3M
REXSOLEGA,REXSOLEGA
REYEROCKBSAI,REYEROCKBSAI
REYEROCKGA,REYEROCKGA
RGROUPGM,RGROUPGM
RHERRTSST,RHERRTSST
RKCRABBB,RKCRABBB
RKCRABNS,RKCRABNS
RKCRABPI,RKCRABPI
RPORGYSATLC,RPORGYSATLC
RROCKLOBSTERSAUSNZ,RROCKLOBSTERSAUSNZ
RROCKLOBSTERSAUSSZ,RROCKLOBSTERSAUSSZ
RSNAPGM,RSNAPEGM / RSNAPWGM
RSNAPSATLC,RSNAPSATLC
RSOLEHSTR,RSOLEHSTR
SAABALONESA,SAABALONESA
SABLEFEBSAIGA,SABLEFEBSAIGA
SABLEFPCAN,SABLEFPCAN
SABLEFPCOAST,SABLEFPCOAST
SARDPCOAST,SARDPCOAST
SARDPVIIIc-IXa,ICES-SARDINE-[8c9a]-1978-2013 / SARDPVIIIc-Ixa
SARDSA,SARDSA
SAURNWPAC,SAURNWPAC
SBELLYROCKPCOAST,SBELLYROCKPCOAST
SBT,SBT
SBWHITACIR,SBWHITACIR
SBWHITARGS,SBWHITARGS
SBWHITCH,BWHITCH
SCMPBP,SCMPBP
SCMPWHB,SCMPWHB
SCUPNWATLC,SCUPNWATLC
SDOGATLC,SDOGATLC
SEELNSSA1,ICES-SANDEEL-[SA1]-1983-2013
SEELNSSA2,ICES-SANDEEL-[SA2]-1983-2013
SEELNSSA3,ICES-SANDEEL-[SA3]-1983-2013
SFLOUNMATLC,SFLOUNMATLC
SILVERFISHSE,SILVERFISHSE
SKJCIO,SKJCIO
SMOOTHOREOBP,SMOOTHOREOBP
SMOOTHOREOCR,SMOOTHOREOCR
